UH_ID,UH_ID_4Digit,GLOSS_ID,Location,Country,Latitude,Longitude,Start,End,
819,0819,233,Goteborg-Torshamnen (Gothenburg),Sweden,57.683,11.8,11/02/67,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0819.csv
288,0288,229,Reykjavik,Iceland,64.15,-21.99,02/05/07,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0288.csv
820,0820,225,Godthab (Nuuk),Denmark,64.17,-51.73,07/04/14,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0820.csv
833,0833,224,Nain,Canada,56.54,-61.69,10/17/63,03/24/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0833.csv
276,0276,223,St. John's Newfoundland,Canada,47.4,-52.68,09/02/89,04/29/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0276.csv
275,0275,222,Halifax,Canada,44.68,-63.61,1895-10-15,04/29/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0275.csv
259,0259,221,Bermuda St. Georges Is.,United Kingdom,32.22,-64.7,01/01/85,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0259.csv
264,0264,220,Atlantic City,United States,39.35,-74.42,08/19/11,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0264.csv
260,0260,219,Duck Pier,United States,35.183,-75.75,06/01/78,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0260.csv
775,0775,217,Galveston (Pier 21),United States,29.33,-94.74,01/01/04,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0775.csv
242,0242,216,Key West,United States,24.553,-81.808,01/19/13,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0242.csv
257,0257,211,Settlement Point,Bahamas,26.717,-78.983,06/04/02,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0257.csv
799,0799,209,Port-au-Prince (Les Cayes),Haiti,18.57,-72.35,11/30/11,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0799.csv
245,0245,206,San Juan Puerto Rico,United States,18.462,-66.117,11/29/77,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0245.csv
824,0824,205,Marseille,France,43.28,5.35,01/01/17,03/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0824.csv
227,0227,202,Cayenne (Degrad des Cannes),France,4.85,-52.28,11/03/06,10/31/11,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0227.csv
280,0280,195,Rio de Janeiro (Ilha Fiscal),Brazil,-22.9,-43.167,02/02/63,04/30/13,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0280.csv
281,0281,194,Cananeia,Brazil,-25.017,-47.933,02/26/54,04/09/07,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0281.csv
729,0729,192,Mar del Plata,Argentina,-38.04,-57.53,03/24/10,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0729.csv
731,0731,191,Puerto Madryn,Argentina,-42.77,-65.03,03/14/10,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0731.csv
286,0286,190,Puerto Deseado,Argentina,-47.75,-65.92,03/17/10,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0286.csv
700,0700,188,Faraday (Argentine Is.),United Kingdom,-65.25,-64.267,10/15/59,04/28/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0700.csv
601,0601,185,Bahia Esperanza,Argentina,-63.3,-56.917,02/24/93,09/11/05,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0601.csv
82,0082,182,Acajutla (Acajutia),El Salvador,13.583,-89.833,08/19/10,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0082.csv
600,0600,181,Ushuaia,Argentina,-54.817,-68.217,01/01/96,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0600.csv
684,0684,178,Puerto Montt,Chile,-41.86,-74.35,04/02/80,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0684.csv
35,0035,177,San Felix,Chile,-26.258,-80.124,11/06/87,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0035.csv
21,0021,176,Juan Fernandez,Chile,-33.617,-78.833,09/04/85,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0021.csv
81,0081,175,Valparaiso,Chile,-33.033,-71.617,01/02/44,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0081.csv
80,0080,174,Antofagasta,Chile,-23.65,-70.417,12/06/45,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0080.csv
93,0093,173,Callao,Peru,-12.071,-77.174,01/01/70,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0093.csv
91,0091,172,La Libertad,Ecuador,-2.209,-80.902,09/01/49,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0091.csv
3,0003,169,Baltra (Galapagos Is.),Ecuador,-0.433,-90.283,03/25/85,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0003.csv
302,0302,168,Balboa,Panama,8.97,-79.57,06/19/07,12/31/14,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0302.csv
87,0087,167,Quepos,Costa Rica,9.4,-84.167,10/08/09,10/31/15,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0087.csv
395,0395,163,Manzanillo,Mexico,19.06,-104.3,12/01/92,08/29/13,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0395.csv
90,0090,162,Socorro Is.,Mexico,18.717,-110.017,05/05/92,09/22/97,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0090.csv
34,0034,161,Cabo San Lucas,Mexico,22.883,-109.917,06/12/73,09/14/14,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0034.csv
554,0554,159,La Jolla,United States,32.867,-117.25,01/01/25,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0554.csv
551,0551,158,San Francisco (Fort Point),United States,37.8,-122.467,1897-08-01,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0551.csv
592,0592,157,South Beach,United States,44.625,-124.043,02/01/67,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0592.csv
542,0542,156,Tofino,Canada,49.15,-125.917,10/01/09,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0542.csv
540,0540,155,Prince Rupert,Canada,54.317,-130.317,01/01/09,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0540.csv
559,0559,154,Sitka,United States,57.052,-135.342,05/20/38,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0559.csv
579,0579,151,Prudhoe Bay,United States,70.388,-148.51,06/27/93,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0579.csv
560,0560,150,Seward,United States,60.119,-149.427,01/01/67,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0560.csv
53,0053,149,Guam (Apra Harbour},Guam,13.59,144.87,03/10/48,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0053.csv
399,0399,148,Lord Howe Is.,Australia,-31.517,159.067,04/23/91,06/30/12,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0399.csv
11,0011,146,Christmas Is. (Line Is.),Kiribati,1.983,-157.467,02/06/74,01/09/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0011.csv
13,0013,145,Canton Is. (Kanton Is.),Kiribati,-2.817,-171.717,05/02/72,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0013.csv
56,0056,144,Pago Pago,United States,-14.277,-170.691,09/08/48,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0056.csv
24,0024,143,Penrhyn,Cook Islands,-9.017,-158.067,04/16/77,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0024.csv
31,0031,142,Nuku Hiva (Marquesas Is.),French Polynesia,-8.922,-140.095,04/01/82,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0031.csv
906,0906,141,Moulmein (Mawlamyine),Myanmar,16.483,97.617,12/01/06,03/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0906.csv
15,0015,140,Papeete,France,-17.533,-149.567,06/08/75,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0015.csv
23,0023,139,Rarotonga,Cook Islands,-21.2,-159.783,02/20/93,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0023.csv
16,0016,138,Rikitea,France,-23.133,-134.97,10/05/69,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0016.csv
22,0022,137,Pascua Is. (Easter Is.),Chile,-27.153,-109.448,04/02/70,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0022.csv
189,0189,131,Dumont d'Urville (Terre-Adelie),Antarctica,-66.67,140,01/16/08,08/19/10,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0189.csv
680,0680,130,Macquarie Is.,Australia,-54.5,158.94,12/28/93,07/09/08,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0680.csv
72,0072,129,Bluff Harbour,New Zealand,-46.6,168.35,10/01/84,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0072.csv
79,0079,128,Waitangi Chatham Is.,New Zealand,-43.946,-176.561,01/01/01,02/15/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0079.csv
38,0038,125,Tongatapu (Nuku' alofa),Tonga,-21.15,-175.18,06/20/90,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0038.csv
19,0019,123,Noumea,France,-22.285,166.433,02/24/67,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0019.csv
18,0018,122,Suva (Kings Wharf),Fiji,-18.137,178.433,01/27/98,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0018.csv
25,0025,121,Funafuti,Tuvalu,-8.533,179.2,03/24/93,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0025.csv
7,0007,120,Malakal,Palau,7.328,134.45,05/18/69,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0007.csv
8,0008,119,Yap,"Micronesia, Federated States of",9.514,138.125,05/10/69,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0008.csv
28,0028,118,Saipan,Northern Mariana Islands,15.227,145.742,09/19/78,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0028.csv
29,0029,117,Kapingamarangi (Caroline Is.),"Micronesia, Federated States of",1.1,154.783,09/08/78,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0029.csv
1,0001,115,Pohnpei,"Micronesia, Federated States of",6.96,158.21,12/16/01,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0001.csv
4,0004,114,Nauru,Nauru,0.533,166.93,07/08/93,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0004.csv
2,0002,113,Betio (Tarawa),Kiribati,1.35,172.917,12/04/92,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0002.csv
5,0005,112,Majuro,Marshall Islands,7.117,171.367,05/14/93,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0005.csv
55,0055,111,Kwajalein,Marshall Islands,8.737,167.738,06/07/46,05/31/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0055.csv
52,0052,109,Johnston Is.,United States,16.733,-169.533,05/01/47,04/30/16,http://uhslc.soest.hawaii.edu/data/csv3/fdh/fdh0052.csv
